Number	Offset	Address		Size	Type	String
379	000140b8	00000001400140b8	Section(1)['.rdata']	0b	U	NewLocation
380	000140d0	00000001400140d0	Section(1)['.rdata']	0b	U	Diagnostics
381	000140e8	00000001400140e8	Section(1)['.rdata']	14	U	IsPlatformRolledback
382	00014118	0000000140014118	Section(1)['.rdata']	1a	U	PlatformRollbackInProgress
383	00014150	0000000140014150	Section(1)['.rdata']	0b	U	%u.%u.%u.%u
384	00014170	0000000140014170	Section(1)['.rdata']	24	U	Diagnostics\BlockedVersions\Platform
385	000141c0	00000001400141c0	Section(1)['.rdata']	27	U	SYSTEM\CurrentControlSet\Control\MiniNT
386	00014238	0000000140014238	Section(1)['.rdata']	11	A	Unknown exception
387	00014250	0000000140014250	Section(1)['.rdata']	14	A	bad array new length
388	00014268	0000000140014268	Section(1)['.rdata']	0c	U	%016I64x%04x
389	00014288	0000000140014288	Section(1)['.rdata']	10	A	map/set too long
390	000142a0	00000001400142a0	Section(1)['.rdata']	1f	U	%ProgramFiles%\Windows Defender
391	000142e0	00000001400142e0	Section(1)['.rdata']	23	U	Software\Microsoft\Windows Defender
392	00014328	0000000140014328	Section(1)['.rdata']	12	U	ProductAppDataPath
393	00014350	0000000140014350	Section(1)['.rdata']	0c	U	MpClient.dll
394	00014370	0000000140014370	Section(1)['.rdata']	09	U	MpSvc.dll
395	00014388	0000000140014388	Section(1)['.rdata']	0b	U	MsMpEng.exe
396	000143a0	00000001400143a0	Section(1)['.rdata']	07	U	%ls\%ls
397	000143ba	00000001400143ba	Section(1)['.rdata']	05	A	=14%l
398	000143c0	00000001400143c0	Section(1)['.rdata']	0c	U	SenseEnabled
399	000143e0	00000001400143e0	Section(1)['.rdata']	2c	U	Software\Microsoft\Windows Defender\MpEngine
400	00014440	0000000140014440	Section(1)['.rdata']	0c	U	MpEngineRing
401	00014460	0000000140014460	Section(1)['.rdata']	0a	U	MpCampRing
402	00014478	0000000140014478	Section(1)['.rdata']	0f	U	MpSignatureRing
403	000144a0	00000001400144a0	Section(1)['.rdata']	31	U	Software\Microsoft\Microsoft Antimalware\MpEngine
404	00014508	0000000140014508	Section(1)['.rdata']	0c	U	advapi32.dll
405	00014528	0000000140014528	Section(1)['.rdata']	13	A	EventSetInformation
406	00014540	0000000140014540	Section(1)['.rdata']	09	A	hr=0x%08X
407	00014559	0000000140014559	Section(1)['.rdata']	05	A	)JG~R
408	000148c8	00000001400148c8	Section(1)['.rdata']	0f	A	string too long
409	000148e0	00000001400148e0	Section(1)['.rdata']	09	U	%ls%ls%ls
410	00014910	0000000140014910	Section(1)['.rdata']	15	U	__NO_STRING_EXPANSION
411	00014940	0000000140014940	Section(1)['.rdata']	1a	A	unordered_map/set too long
412	00014960	0000000140014960	Section(1)['.rdata']	19	A	invalid hash bucket count
413	00014980	0000000140014980	Section(1)['.rdata']	0e	U	forwarders\%ls
414	000149a0	00000001400149a0	Section(1)['.rdata']	0c	U	kernel32.dll
415	000149d0	00000001400149d0	Section(1)['.rdata']	19	A	GetFileVersionInfoSizeExW
416	000149f0	00000001400149f0	Section(1)['.rdata']	17	A	GetFileVersionInfoSizeW
417	00014a08	0000000140014a08	Section(1)['.rdata']	13	A	GetFileVersionInfoW
418	00014a20	0000000140014a20	Section(1)['.rdata']	15	A	GetFileVersionInfoExW
419	00014a38	0000000140014a38	Section(1)['.rdata']	0e	A	VerQueryValueW
420	00014a60	0000000140014a60	Section(1)['.rdata']	0e	A	bad allocation
421	00014a86	0000000140014a86	Section(1)['.rdata']	05	A	Q8O=^
422	00014a90	0000000140014a90	Section(1)['.rdata']	3f	A	v._master_2020-12-14T09:20:49-08:00_5b3acb1_2020-12-22T16:20:51
423	00015ec7	0000000140015ec7	Section(1)['.rdata']	15	A	Platform.PlatUpdStart
424	00015edd	0000000140015edd	Section(1)['.rdata']	0e	A	PartA_PrivTags
425	00015eed	0000000140015eed	Section(1)['.rdata']	0b	A	ProductGuid
426	00015efa	0000000140015efa	Section(1)['.rdata']	0d	A	EngineVersion
427	00015f09	0000000140015f09	Section(1)['.rdata']	0a	A	SigVersion
428	00015f15	0000000140015f15	Section(1)['.rdata']	0a	A	AppVersion
429	00015f21	0000000140015f21	Section(1)['.rdata']	0b	A	PartnerGuid
430	00015f2e	0000000140015f2e	Section(1)['.rdata']	05	A	OrgId
431	00015f35	0000000140015f35	Section(1)['.rdata']	06	A	IsBeta
432	00015f3d	0000000140015f3d	Section(1)['.rdata']	09	A	IsManaged
433	00015f48	0000000140015f48	Section(1)['.rdata']	0d	A	IsPassiveMode
434	00015f57	0000000140015f57	Section(1)['.rdata']	10	A	IsSxsPassiveMode
435	00015f69	0000000140015f69	Section(1)['.rdata']	0d	A	ShouldHashIds
436	00015f78	0000000140015f78	Section(1)['.rdata']	0a	A	EngineRing
437	00015f84	0000000140015f84	Section(1)['.rdata']	08	A	CampRing
438	00015f8e	0000000140015f8e	Section(1)['.rdata']	0d	A	SignatureRing
439	00015f9d	0000000140015f9d	Section(1)['.rdata']	07	A	Version
440	00015fa6	0000000140015fa6	Section(1)['.rdata']	0a	A	DropFolder
441	00015fc5	0000000140015fc5	Section(1)['.rdata']	1a	A	Microsoft.Windows.Defender
442	00016006	0000000140016006	Section(1)['.rdata']	1a	A	Microsoft.Windows.Defender
443	00016034	0000000140016034	Section(1)['.rdata']	1a	A	Microsoft.Windows.Defender
444	0001607c	000000014001607c	Section(1)['.rdata']	0b	A	MsMpEng.pdb
445	00016094	0000000140016094	Section(1)['.rdata']	05	A	.text
446	000160a4	00000001400160a4	Section(1)['.rdata']	08	A	.text$di
447	000160b8	00000001400160b8	Section(1)['.rdata']	08	A	.text$mn
448	000160cc	00000001400160cc	Section(1)['.rdata']	0b	A	.text$mn$00
449	000160e0	00000001400160e0	Section(1)['.rdata']	07	A	.text$x
450	000160f0	00000001400160f0	Section(1)['.rdata']	08	A	.text$yd
451	00016104	0000000140016104	Section(1)['.rdata']	0a	A	.rdata$brc
452	00016118	0000000140016118	Section(1)['.rdata']	0c	A	.rdata$T$brc
453	00016130	0000000140016130	Section(1)['.rdata']	08	A	.idata$5
454	00016144	0000000140016144	Section(1)['.rdata']	06	A	.00cfg
455	00016154	0000000140016154	Section(1)['.rdata']	08	A	.CRT$XCA
456	00016168	0000000140016168	Section(1)['.rdata']	09	A	.CRT$XCAA
457	0001617c	000000014001617c	Section(1)['.rdata']	08	A	.CRT$XCU
458	00016190	0000000140016190	Section(1)['.rdata']	08	A	.CRT$XCZ
459	000161a4	00000001400161a4	Section(1)['.rdata']	08	A	.CRT$XIA
460	000161b8	00000001400161b8	Section(1)['.rdata']	09	A	.CRT$XIAA
461	000161cc	00000001400161cc	Section(1)['.rdata']	09	A	.CRT$XIAC
462	000161e0	00000001400161e0	Section(1)['.rdata']	08	A	.CRT$XIC
463	000161f4	00000001400161f4	Section(1)['.rdata']	08	A	.CRT$XIZ
464	00016208	0000000140016208	Section(1)['.rdata']	08	A	.CRT$XLA
465	0001621c	000000014001621c	Section(1)['.rdata']	08	A	.CRT$XLZ
466	00016230	0000000140016230	Section(1)['.rdata']	08	A	.CRT$XPA
467	00016244	0000000140016244	Section(1)['.rdata']	08	A	.CRT$XPZ
468	00016258	0000000140016258	Section(1)['.rdata']	08	A	.CRT$XTA
469	0001626c	000000014001626c	Section(1)['.rdata']	08	A	.CRT$XTZ
470	00016280	0000000140016280	Section(1)['.rdata']	08	A	.gehcont
471	00016294	0000000140016294	Section(1)['.rdata']	06	A	.gfids
472	000162a4	00000001400162a4	Section(1)['.rdata']	06	A	.giats
473	000162b4	00000001400162b4	Section(1)['.rdata']	06	A	.rdata
474	000162c4	00000001400162c4	Section(1)['.rdata']	08	A	.rdata$r
475	000162d8	00000001400162d8	Section(1)['.rdata']	0d	A	.rdata$voltmd
476	000162f0	00000001400162f0	Section(1)['.rdata']	0c	A	.rdata$zETW0
477	00016308	0000000140016308	Section(1)['.rdata']	0c	A	.rdata$zETW1
478	00016320	0000000140016320	Section(1)['.rdata']	0c	A	.rdata$zETW2
479	00016338	0000000140016338	Section(1)['.rdata']	0c	A	.rdata$zETW9
480	00016350	0000000140016350	Section(1)['.rdata']	0d	A	.rdata$zzzdbg
481	00016368	0000000140016368	Section(1)['.rdata']	08	A	.rtc$IAA
482	0001637c	000000014001637c	Section(1)['.rdata']	08	A	.rtc$IZZ
483	00016390	0000000140016390	Section(1)['.rdata']	08	A	.rtc$TAA
484	000163a4	00000001400163a4	Section(1)['.rdata']	08	A	.rtc$TZZ
485	000163c8	00000001400163c8	Section(1)['.rdata']	05	A	.tls$
486	000163d8	00000001400163d8	Section(1)['.rdata']	08	A	.tls$ZZZ
487	000163ec	00000001400163ec	Section(1)['.rdata']	06	A	.xdata
488	000163fc	00000001400163fc	Section(1)['.rdata']	08	A	.xdata$x
489	00016410	0000000140016410	Section(1)['.rdata']	06	A	_RDATA
490	00016420	0000000140016420	Section(1)['.rdata']	08	A	.idata$2
491	00016434	0000000140016434	Section(1)['.rdata']	08	A	.idata$3
492	00016448	0000000140016448	Section(1)['.rdata']	08	A	.idata$4
493	0001645c	000000014001645c	Section(1)['.rdata']	08	A	.idata$6
494	00016470	0000000140016470	Section(1)['.rdata']	09	A	.data$brc
495	00016484	0000000140016484	Section(1)['.rdata']	0b	A	.data$r$brc
496	00016498	0000000140016498	Section(1)['.rdata']	0c	A	.data$rs$brc
497	000164b0	00000001400164b0	Section(1)['.rdata']	05	A	.data
498	000164d0	00000001400164d0	Section(1)['.rdata']	06	A	.pdata
499	000164e0	00000001400164e0	Section(1)['.rdata']	08	A	.rsrc$01
500	000164f4	00000001400164f4	Section(1)['.rdata']	08	A	.rsrc$02
501	00016c70	0000000140016c70	Section(1)['.rdata']	0a	A	TTjlb
502	00016ce4	0000000140016ce4	Section(1)['.rdata']	06	A	p`P
503	00017918	0000000140017918	Section(1)['.rdata']	05	A	2p
504	00018372	0000000140018372	Section(1)['.rdata']	14	A	UnregisterTraceGuids
505	0001838a	000000014001838a	Section(1)['.rdata']	13	A	RegisterTraceGuidsW
506	000183a0	00000001400183a0	Section(1)['.rdata']	13	A	GetTraceEnableLevel
507	000183b6	00000001400183b6	Section(1)['.rdata']	13	A	GetTraceEnableFlags
508	000183cc	00000001400183cc	Section(1)['.rdata']	14	A	GetTraceLoggerHandle
509	000183e4	00000001400183e4	Section(1)['.rdata']	0c	A	TraceMessage
510	000183f4	00000001400183f4	Section(1)['.rdata']	0b	A	RegCloseKey
511	00018402	0000000140018402	Section(1)['.rdata']	0d	A	RegOpenKeyExW
512	00018412	0000000140018412	Section(1)['.rdata']	12	A	EventWriteTransfer
513	00018426	0000000140018426	Section(1)['.rdata']	0c	A	ADVAPI32.dll
514	00018436	0000000140018436	Section(1)['.rdata']	0c	A	GetLastError
515	00018446	0000000140018446	Section(1)['.rdata']	0e	A	GetProcAddress
516	00018458	0000000140018458	Section(1)['.rdata']	0b	A	FreeLibrary
517	00018466	0000000140018466	Section(1)['.rdata']	11	A	GetCurrentProcess
518	0001847a	000000014001847a	Section(1)['.rdata']	0b	A	CloseHandle
519	00018488	0000000140018488	Section(1)['.rdata']	0c	A	SetErrorMode
520	00018496	0000000140018496	Section(1)['.rdata']	0c	A	KERNEL32.dll
521	000184a6	00000001400184a6	Section(1)['.rdata']	08	A	_wcsicmp
522	000184b0	00000001400184b0	Section(1)['.rdata']	20	A	api-ms-win-crt-string-l1-1-0.dll
523	000184d4	00000001400184d4	Section(1)['.rdata']	20	A	CertVerifyCertificateChainPolicy
524	000184f6	00000001400184f6	Section(1)['.rdata']	0b	A	CRYPT32.dll
525	00018504	0000000140018504	Section(1)['.rdata']	0e	A	WinVerifyTrust
526	00018516	0000000140018516	Section(1)['.rdata']	1d	A	WTHelperProvDataFromStateData
527	00018536	0000000140018536	Section(1)['.rdata']	1e	A	WTHelperGetProvSignerFromChain
528	00018558	0000000140018558	Section(1)['.rdata']	23	A	CryptCATAdminCalcHashFromFileHandle
529	0001857e	000000014001857e	Section(1)['.rdata']	1b	A	CryptCATAdminAcquireContext
530	0001859c	000000014001859c	Section(1)['.rdata']	20	A	CryptCATAdminEnumCatalogFromHash
531	000185c0	00000001400185c0	Section(1)['.rdata']	1e	A	CryptCATCatalogInfoFromContext
532	000185e2	00000001400185e2	Section(1)['.rdata']	22	A	CryptCATAdminReleaseCatalogContext
533	00018608	0000000140018608	Section(1)['.rdata']	1b	A	CryptCATAdminReleaseContext
534	00018624	0000000140018624	Section(1)['.rdata']	0c	A	WINTRUST.dll
535	00018634	0000000140018634	Section(1)['.rdata']	11	A	RtlCaptureContext
536	00018648	0000000140018648	Section(1)['.rdata']	16	A	RtlLookupFunctionEntry
537	00018662	0000000140018662	Section(1)['.rdata']	10	A	RtlVirtualUnwind
538	00018676	0000000140018676	Section(1)['.rdata']	0b	A	RtlUnwindEx
539	00018684	0000000140018684	Section(1)['.rdata']	11	A	RtlPcToFileHeader
540	00018698	0000000140018698	Section(1)['.rdata']	09	A	RtlUnwind
541	000186a4	00000001400186a4	Section(1)['.rdata']	15	A	RtlNtStatusToDosError
542	000186ba	00000001400186ba	Section(1)['.rdata']	09	A	ntdll.dll
543	000186c6	00000001400186c6	Section(1)['.rdata']	0f	A	EventUnregister
544	000186d8	00000001400186d8	Section(1)['.rdata']	0d	A	EventRegister
545	000186e8	00000001400186e8	Section(1)['.rdata']	10	A	RegQueryValueExW
546	000186fc	00000001400186fc	Section(1)['.rdata']	0e	A	RegSetValueExW
547	0001870e	000000014001870e	Section(1)['.rdata']	17	A	QueryPerformanceCounter
548	00018728	0000000140018728	Section(1)['.rdata']	13	A	GetCurrentProcessId
549	0001873e	000000014001873e	Section(1)['.rdata']	12	A	GetCurrentThreadId
550	00018754	0000000140018754	Section(1)['.rdata']	17	A	GetSystemTimeAsFileTime
551	0001876e	000000014001876e	Section(1)['.rdata']	13	A	InitializeSListHead
552	00018784	0000000140018784	Section(1)['.rdata']	11	A	IsDebuggerPresent
553	00018798	0000000140018798	Section(1)['.rdata']	18	A	UnhandledExceptionFilter
554	000187b4	00000001400187b4	Section(1)['.rdata']	1b	A	SetUnhandledExceptionFilter
555	000187d2	00000001400187d2	Section(1)['.rdata']	19	A	IsProcessorFeaturePresent
556	000187ee	00000001400187ee	Section(1)['.rdata']	10	A	GetModuleHandleW
557	00018802	0000000140018802	Section(1)['.rdata']	10	A	TerminateProcess
558	00018816	0000000140018816	Section(1)['.rdata']	0e	A	RaiseException
559	00018828	0000000140018828	Section(1)['.rdata']	0c	A	SetLastError
560	00018838	0000000140018838	Section(1)['.rdata']	08	A	FlsAlloc
561	00018844	0000000140018844	Section(1)['.rdata']	0b	A	FlsGetValue
562	00018852	0000000140018852	Section(1)['.rdata']	0b	A	FlsSetValue
563	00018860	0000000140018860	Section(1)['.rdata']	07	A	FlsFree
564	0001886a	000000014001886a	Section(1)['.rdata']	0d	A	EncodePointer
565	0001887a	000000014001887a	Section(1)['.rdata']	14	A	EnterCriticalSection
566	00018892	0000000140018892	Section(1)['.rdata']	14	A	LeaveCriticalSection
567	000188aa	00000001400188aa	Section(1)['.rdata']	1b	A	InitializeCriticalSectionEx
568	000188c8	00000001400188c8	Section(1)['.rdata']	15	A	DeleteCriticalSection
569	000188e0	00000001400188e0	Section(1)['.rdata']	12	A	GetModuleHandleExW
570	000188f6	00000001400188f6	Section(1)['.rdata']	25	A	InitializeCriticalSectionAndSpinCount
571	0001891e	000000014001891e	Section(1)['.rdata']	0e	A	FindFirstFileW
572	00018930	0000000140018930	Section(1)['.rdata']	0d	A	FindNextFileW
573	00018940	0000000140018940	Section(1)['.rdata']	19	A	ExpandEnvironmentStringsW
574	0001895c	000000014001895c	Section(1)['.rdata']	09	A	FindClose
575	00018968	0000000140018968	Section(1)['.rdata']	0b	A	CreateFileW
576	00018976	0000000140018976	Section(1)['.rdata']	12	A	GetFileAttributesW
577	0001898c	000000014001898c	Section(1)['.rdata']	0c	A	CreateEventW
578	0001899c	000000014001899c	Section(1)['.rdata']	0e	A	LoadLibraryExW
579	000189ae	00000001400189ae	Section(1)['.rdata']	12	A	GetModuleFileNameW
580	000189c4	00000001400189c4	Section(1)['.rdata']	13	A	GetSystemDirectoryW
581	000189da	00000001400189da	Section(1)['.rdata']	12	A	HeapSetInformation
582	000189f0	00000001400189f0	Section(1)['.rdata']	0f	A	_seh_filter_exe
583	00018a02	0000000140018a02	Section(1)['.rdata']	0d	A	_set_app_type
584	00018a12	0000000140018a12	Section(1)['.rdata']	14	A	_configure_wide_argv
585	00018a2a	0000000140018a2a	Section(1)['.rdata']	1c	A	_initialize_wide_environment
586	00018a4a	0000000140018a4a	Section(1)['.rdata']	1d	A	_get_initial_wide_environment
587	00018a6a	0000000140018a6a	Section(1)['.rdata']	09	A	_initterm
588	00018a76	0000000140018a76	Section(1)['.rdata']	0b	A	_initterm_e
589	00018a8c	0000000140018a8c	Section(1)['.rdata']	05	A	_exit
590	00018a94	0000000140018a94	Section(1)['.rdata']	0a	A	_set_fmode
591	00018aa2	0000000140018aa2	Section(1)['.rdata']	0a	A	__p___argc
592	00018ab0	0000000140018ab0	Section(1)['.rdata']	0b	A	__p___wargv
593	00018abe	0000000140018abe	Section(1)['.rdata']	06	A	_cexit
594	00018ac8	0000000140018ac8	Section(1)['.rdata']	07	A	_c_exit
595	00018ad2	0000000140018ad2	Section(1)['.rdata']	2a	A	_register_thread_local_exe_atexit_callback
596	00018b00	0000000140018b00	Section(1)['.rdata']	13	A	_configthreadlocale
597	00018b16	0000000140018b16	Section(1)['.rdata']	0d	A	_set_new_mode
598	00018b26	0000000140018b26	Section(1)['.rdata']	0c	A	__p__commode
599	00018b36	0000000140018b36	Section(1)['.rdata']	09	A	_callnewh
600	00018b42	0000000140018b42	Section(1)['.rdata']	06	A	malloc
601	00018b4c	0000000140018b4c	Section(1)['.rdata']	18	A	_initialize_onexit_table
602	00018b68	0000000140018b68	Section(1)['.rdata']	19	A	_register_onexit_function
603	00018b84	0000000140018b84	Section(1)['.rdata']	0b	A	_crt_atexit
604	00018b92	0000000140018b92	Section(1)['.rdata']	09	A	terminate
605	00018ba6	0000000140018ba6	Section(1)['.rdata']	05	A	abort
606	00018bae	0000000140018bae	Section(1)['.rdata']	0a	A	_free_base
607	00018bbc	0000000140018bbc	Section(1)['.rdata']	08	A	strcpy_s
608	00018bc8	0000000140018bc8	Section(1)['.rdata']	0c	A	_calloc_base
609	00018bd8	0000000140018bd8	Section(1)['.rdata']	17	A	__stdio_common_vsprintf
610	00018bf2	0000000140018bf2	Section(1)['.rdata']	06	A	wcstol
611	00018bfc	0000000140018bfc	Section(1)['.rdata']	07	A	isdigit
612	00018c06	0000000140018c06	Section(1)['.rdata']	22	A	_invalid_parameter_noinfo_noreturn
613	00018c2c	0000000140018c2c	Section(1)['.rdata']	18	A	__stdio_common_vswprintf
614	00018c48	0000000140018c48	Section(1)['.rdata']	08	A	towlower
615	00018c54	0000000140018c54	Section(1)['.rdata']	06	A	_errno
616	00018c5e	0000000140018c5e	Section(1)['.rdata']	07	A	_wfopen
617	00018c68	0000000140018c68	Section(1)['.rdata']	06	A	fclose
618	00018c72	0000000140018c72	Section(1)['.rdata']	08	A	iswspace
619	00018c7e	0000000140018c7e	Section(1)['.rdata']	06	A	fgetws
620	00018c8e	0000000140018c8e	Section(1)['.rdata']	21	A	api-ms-win-crt-runtime-l1-1-0.dll
621	00018cb0	0000000140018cb0	Section(1)['.rdata']	1f	A	api-ms-win-crt-stdio-l1-1-0.dll
622	00018cd0	0000000140018cd0	Section(1)['.rdata']	20	A	api-ms-win-crt-locale-l1-1-0.dll
623	00018cf2	0000000140018cf2	Section(1)['.rdata']	1e	A	api-ms-win-crt-heap-l1-1-0.dll
624	00018d12	0000000140018d12	Section(1)['.rdata']	21	A	api-ms-win-crt-convert-l1-1-0.dll
625	00018d36	0000000140018d36	Section(1)['.rdata']	0d	A	RtlGetVersion
626	00018d46	0000000140018d46	Section(1)['.rdata']	0d	A	DecodePointer
627	00018d56	0000000140018d56	Section(1)['.rdata']	08	A	HeapFree
628	00018d62	0000000140018d62	Section(1)['.rdata']	09	A	HeapAlloc
629	00018d6e	0000000140018d6e	Section(1)['.rdata']	0e	A	GetProcessHeap
630	00018d80	0000000140018d80	Section(1)['.rdata']	0b	A	VirtualLock
631	00018d8e	0000000140018d8e	Section(1)['.rdata']	05	A	ceilf
632	00018d94	0000000140018d94	Section(1)['.rdata']	1e	A	api-ms-win-crt-math-l1-1-0.dll
633	000190f8	00000001400190f8	Section(2)['.data']	17	A	.?AVbad_exception@std@@
634	00019120	0000000140019120	Section(2)['.data']	13	A	.?AVexception@std@@
635	00019148	0000000140019148	Section(2)['.data']	13	A	.?AVbad_alloc@std@@
636	00019170	0000000140019170	Section(2)['.data']	1e	A	.?AVbad_array_new_length@std@@
637	000191a0	00000001400191a0	Section(2)['.data']	26	A	.?AVCHResultExceptionImpl@CommonUtil@@
638	000191d8	00000001400191d8	Section(2)['.data']	22	A	.?AVCHResultException@CommonUtil@@
639	00019210	0000000140019210	Section(2)['.data']	16	A	.?AVout_of_range@std@@
640	00019238	0000000140019238	Section(2)['.data']	1a	A	.?AVinvalid_argument@std@@
641	00019268	0000000140019268	Section(2)['.data']	16	A	.?AVlength_error@std@@
642	00019290	0000000140019290	Section(2)['.data']	15	A	.?AVlogic_error@std@@
643	000192c0	00000001400192c0	Section(2)['.data']	0f	A	.?AVtype_info@@
644	000192e0	00000001400192e0	Section(2)['.data']	15	A	.?AVCDropFolderInfo@@
645	00019308	0000000140019308	Section(2)['.data']	15	A	.?AUIDropFolderInfo@@
646	00019330	0000000140019330	Section(2)['.data']	33	A	.?AV?$CRefObjectFor@UIDropFolderInfo@@@CommonUtil@@
647	00019380	0000000140019380	Section(2)['.data']	9a	A	.?AV?$CAssocIteratorImpl@UIDropFolderInfo@@V?$CAssocCollectionImpl@V?$CStdRefMapWideStringNoCase@VCDropFolderInfo@@@CommonUtil@@@CommonUtil@@@CommonUtil@@
648	00019430	0000000140019430	Section(2)['.data']	39	A	.?AU?$IAssocIterator@PEB_WUIDropFolderInfo@@@CommonUtil@@
649	00019480	0000000140019480	Section(2)['.data']	35	A	.?AU?$ISimpleIterator@UIDropFolderInfo@@@CommonUtil@@
650	000194d0	00000001400194d0	Section(2)['.data']	65	A	.?AV?$CAssocCollectionImpl@V?$CStdRefMapWideStringNoCase@VCDropFolderInfo@@@CommonUtil@@@CommonUtil@@
651	00019548	0000000140019548	Section(2)['.data']	1b	A	.?AVCRefObject@CommonUtil@@
652	00019578	0000000140019578	Section(2)['.data']	1b	A	.?AUIRefObject@CommonUtil@@
653	000195b0	00000001400195b0	Section(2)['.data']	3b	A	.?AU?$IAssocIteratorEx@PEB_WUIDropFolderInfo@@@CommonUtil@@
654	00019600	0000000140019600	Section(2)['.data']	59	A	.?AV?$CRefObjectFor@U?$IAssocIteratorEx@PEB_WUIDropFolderInfo@@@CommonUtil@@@CommonUtil@@
655	00019670	0000000140019670	Section(2)['.data']	1f	A	.?AVCFlatEnumFiles@CommonUtil@@
656	000196a0	00000001400196a0	Section(2)['.data']	1b	A	.?AUIEnumFiles@CommonUtil@@
657	000196d0	00000001400196d0	Section(2)['.data']	39	A	.?AV?$CRefObjectFor@UIEnumFiles@CommonUtil@@@CommonUtil@@
658	00019720	0000000140019720	Section(2)['.data']	22	A	.?AUICmdOptionsLookup@CommonUtil@@
659	00019758	0000000140019758	Section(2)['.data']	1a	A	.?AVCArgvIter@CommonUtil@@
660	00019788	0000000140019788	Section(2)['.data']	29	A	.?AU?$ISimpleIterator@$$CB_W@CommonUtil@@
661	000197c8	00000001400197c8	Section(2)['.data']	25	A	.?AVCCmdOptionsLookupMap@CommonUtil@@
662	00019800	0000000140019800	Section(2)['.data']	48	A	.?AV?$CRefObjectFor@U?$IForwardIterator@$$CB_W@CommonUtil@@@CommonUtil@@
663	00019860	0000000140019860	Section(2)['.data']	34	A	.?AVCSimpleMapItem@CCmdOptionsLookupMap@CommonUtil@@
664	000198a8	00000001400198a8	Section(2)['.data']	2a	A	.?AU?$IForwardIterator@$$CB_W@CommonUtil@@
665	000198f0	00000001400198f0	Section(2)['.data']	40	A	.?AV?$CRefObjectFor@UICmdOptionsLookup@CommonUtil@@@CommonUtil@@
666	00019948	0000000140019948	Section(2)['.data']	23	A	.?AVCMpGlobalVarsTable@CommonUtil@@
667	00019980	0000000140019980	Section(2)['.data']	20	A	.?AVCMpUtilsLibrary@CommonUtil@@
668	000199b8	00000001400199b8	Section(2)['.data']	26	A	.?AVCPtrObjectProcessHeap@CommonUtil@@
669	000199f0	00000001400199f0	Section(2)['.data']	1b	A	.?AVCPtrObject@CommonUtil@@
670	00019a20	0000000140019a20	Section(2)['.data']	29	A	.?AVCPredefinedMpHeapsHolder@CommonUtil@@
671	0001c0a0	000000014001d0a0	Section(4)['.rsrc']	28	A	<?xml version="1.0" encoding="UTF-8" ?> 
672	0001c0ca	000000014001d0ca	Section(4)['.rsrc']	2c	A	<!-- Copyright (c) Microsoft Corporation -->
673	0001c0f8	000000014001d0f8	Section(4)['.rsrc']	49	A	<assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0">
674	0001c143	000000014001d143	Section(4)['.rsrc']	38	A	    <trustInfo xmlns="urn:schemas-microsoft-com:asm.v3">
675	0001c17d	000000014001d17d	Section(4)['.rsrc']	12	A	        <security>
676	0001c191	000000014001d191	Section(4)['.rsrc']	21	A	            <requestedPrivileges>
677	0001c1b4	000000014001d1b4	Section(4)['.rsrc']	4f	A	                <requestedExecutionLevel level="asInvoker" uiAccess="false" /> 
678	0001c205	000000014001d205	Section(4)['.rsrc']	22	A	            </requestedPrivileges>
679	0001c229	000000014001d229	Section(4)['.rsrc']	13	A	        </security>
680	0001c23e	000000014001d23e	Section(4)['.rsrc']	10	A	    </trustInfo>
681	0001c250	000000014001d250	Section(4)['.rsrc']	47	A	    <compatibility xmlns="urn:schemas-microsoft-com:compatibility.v1"> 
682	0001c299	000000014001d299	Section(4)['.rsrc']	16	A	        <application> 
683	0001c2b1	000000014001d2b1	Section(4)['.rsrc']	6c	A	            <!--This Id value indicates the application supports Windows Vista/Server 2008 functionality -->
684	0001c31f	000000014001d31f	Section(4)['.rsrc']	47	A	            <supportedOS Id="{e2011457-1546-43c5-a5fe-008deee3d3f0}"/> 
685	0001c368	000000014001d368	Section(4)['.rsrc']	6a	A	            <!--This Id value indicates the application supports Windows 7/Server 2008 R2 functionality-->
686	0001c3d4	000000014001d3d4	Section(4)['.rsrc']	46	A	            <supportedOS Id="{35138b9a-5d96-4fbd-8e2d-a2440225f93a}"/>
687	0001c41c	000000014001d41c	Section(4)['.rsrc']	67	A	            <!--This Id value indicates the application supports Windows 8/Server 2012 functionality-->
688	0001c485	000000014001d485	Section(4)['.rsrc']	46	A	            <supportedOS Id="{4a2f28e3-53b9-4441-ba9c-d69d4a4a6e38}"/>
689	0001c4d2	000000014001d4d2	Section(4)['.rsrc']	72	A	    <!-- This Id value indicates the application supports Windows Blue/Server 2012 R2 functionality-->            
690	0001c54b	000000014001d54b	Section(4)['.rsrc']	3e	A	    <supportedOS Id="{1f676c76-80e1-4239-95bb-83d0f6d0da78}"/>
691	0001c590	000000014001d590	Section(4)['.rsrc']	68	A	    <!-- This Id value indicates the application supports Windows Threshold functionality-->            
692	0001c5ff	000000014001d5ff	Section(4)['.rsrc']	3e	A	    <supportedOS Id="{8e0f7a12-bfb3-4fe8-b9a5-48fd50a15a9a}"/>
693	0001c63f	000000014001d63f	Section(4)['.rsrc']	17	A	        </application> 
694	0001c658	000000014001d658	Section(4)['.rsrc']	14	A	    </compatibility>
695	0001c66e	000000014001d66e	Section(4)['.rsrc']	0b	A	</assembly>
